feature,importance
post2,35608.0
year_built,32674.0
unit_area,28244.0
house_area,27147.0
snapshot_land_area,25423.666666666664
geo_pca_1,24921.0
eki_name1_le,24694.666666666664
eki_name1_count,23777.666666666668
super_distance,23692.666666666668
convenience_distance,21848.666666666668
geo_pca_0,21357.666666666664
building_land_area,21326.333333333336
total_access_time1,20450.666666666664
rosen_name1_te,20276.0
walk_time1,20068.333333333332
addr1_2_te,19482.333333333336
money_kyoueki,18466.333333333336
post1,18389.666666666668
money_shuuzen,17996.0
unit_count,17829.666666666668
total_floor_area,17771.333333333332
rosen_name1_count,16408.666666666668
rosen_name1_le,16356.0
balcony_area,15296.666666666668
addr1_2,15146.333333333332
addr1_2_count,14642.333333333334
drugstore_distance,14094.0
walk_time2,13185.333333333332
est_other_distance,12246.333333333334
hospital_distance,11942.666666666668
park_distance,11931.0
total_access_time2,11909.333333333334
land_youto,11416.333333333332
eki_name2_le,11396.666666666666
eki_name2_count,10690.666666666666
addr1_1_te,10553.666666666666
building_age_bin_te,10183.666666666666
bank_distance,9885.666666666666
parking_money,9538.666666666666
dwelling_unit_window_angle,9504.333333333334
rosen_name2_le,9027.333333333334
land_youto_te,8950.666666666668
floor_count,8780.0
land_area_all,8764.0
rosen_name2_count,8586.0
snapshot_window_angle,8515.666666666666
floor_plan_code,7960.0
land_youseki,7827.333333333333
land_youto_count,7699.333333333334
building_age,7630.666666666666
parking_kubun,6520.666666666666
addr1_1_count,6265.333333333332
snapshot_land_shidou,5757.0
room_floor,5638.666666666667
room_kaisuu,5565.333333333333
madori_kind_all,5521.0
madori_number_all,5479.0
land_kenpei,5427.0
land_road_cond,4811.666666666667
room_count,4305.333333333333
land_chisei,4290.333333333334
shopping_street_distance,4228.666666666667
genkyo_code,4219.333333333333
empty_number,3859.0
money_sonota_sum,3654.666666666666
land_toshi_te,3614.333333333333
addr1_1,3468.333333333334
building_structure,3339.666666666667
land_toshi,2990.6666666666665
house_kanrinin,2581.666666666667
building_structure_count,2377.0
usable_status,2325.0
genkyo_code_count,2318.6666666666665
flg_investment,2170.3333333333335
usable_status_count,2005.0
old_and_large_flag,1944.6666666666665
old_and_rural_flag,1685.3333333333335
bukken_type_te,1658.333333333333
management_association_flg,1643.3333333333333
management_form,1359.6666666666667
building_land_chimoku,1285.6666666666667
basement_floor_count,1171.6666666666667
parking_kubun_count,1121.6666666666667
land_chisei_count,923.0
building_status,842.3333333333333
tfidf_5,611.3333333333334
tfidf_12,608.6666666666667
building_age_bin,584.0
tfidf_13,564.6666666666666
building_land_chimoku_count,552.3333333333334
parking_keiyaku,529.6666666666666
management_form_count,520.6666666666667
tfidf_6,485.0
flg_investment_count,438.3333333333333
tfidf_17,431.0
tfidf_7,423.6666666666667
tfidf_11,421.66666666666663
building_type_count,404.6666666666667
tfidf_16,386.3333333333333
tfidf_19,347.66666666666663
tfidf_9,343.66666666666663
tfidf_4,329.3333333333333
land_toshi_count,317.66666666666663
tfidf_3,306.3333333333333
building_type,305.6666666666667
money_shuuzenkikin,297.3333333333333
tfidf_8,250.33333333333331
tfidf_1,246.33333333333331
tfidf_15,245.66666666666669
tfidf_2,197.0
tfidf_0,189.0
tfidf_10,175.0
building_status_count,173.0
tfidf_14,112.33333333333333
flg_new,77.66666666666667
tfidf_18,49.666666666666664
bukken_type,14.666666666666668
flg_new_count,9.666666666666666
bukken_type_count,0.6666666666666666
